8:00p	Washington Wizards	128	Milwaukee Bucks	131	Box Score		17,880	2:20	Fiserv Forum	In-Season Tournament
8:00p	Sacramento Kings	124	Minnesota Timberwolves	111	Box Score		18,024	2:11	Target Center	In-Season Tournament
10:00p	San Antonio Spurs	112	Golden State Warriors	118	Box Score		18,064	2:35	Chase Center	In-Season Tournament
10:30p	New Orleans Pelicans	116	Los Angeles Clippers	106	Box Score		19,370	2:20	Crypto.com Arena	In-Season Tournament
5:00p	Philadelphia 76ers	127	Oklahoma City Thunder	123	Box Score		17,125	2:33	Paycom Center	
6:00p	Miami Heat	97	Brooklyn Nets	112	Box Score		17,817	2:10	Barclays Center	
7:00p	Atlanta Hawks	136	Washington Wizards	108	Box Score		16,276	2:02	Capital One Arena	
7:30p	Los Angeles Lakers	121	Cleveland Cavaliers	115	Box Score		19,432	2:12	Rocket Mortgage Fieldhouse	
9:30p	New Orleans Pelicans	100	Utah Jazz	105	Box Score		18,206	2:10	Delta Center	
10:30p	Dallas Mavericks	88	Los Angeles Clippers	107	Box Score		19,370	2:09	Crypto.com Arena	
3:30p	Portland Trail Blazers	102	Milwaukee Bucks	108	Box Score		17,602	2:29	Fiserv Forum	
6:00p	Atlanta Hawks	103	Boston Celtics	113	Box Score		19,156	2:08	TD Garden	
6:00p	Minnesota Timberwolves	119	Memphis Grizzlies	97	Box Score		15,764	2:15	FedEx Forum	
6:00p	Phoenix Suns	116	New York Knicks	113	Box Score		19,812	2:25	Madison Square Garden (IV)	
6:00p	Charlotte Hornets	117	Orlando Magic	130	Box Score		18,846	2:16	Kia Center	
7:30p	Chicago Bulls	109	Brooklyn Nets	118	Box Score		16,687	2:03	Barclays Center	
7:30p	Toronto Raptors	102	Cleveland Cavaliers	105	Box Score		19,432	2:16	Rocket Mortgage Fieldhouse	
8:00p	San Antonio Spurs	120	Denver Nuggets	132	Box Score		19,665	2:19	Ball Arena	
7:00p	Washington Wizards	126	Detroit Pistons	107	Box Score		14,346	2:18	Little Caesars Arena	
7:00p	Portland Trail Blazers	114	Indiana Pacers	110	Box Score		14,508	2:29	Gainbridge Fieldhouse	
7:00p	Los Angeles Lakers	94	Philadelphia 76ers	138	Box Score		19,907	2:11	Wells Fargo Center	
9:00p	New Orleans Pelicans	112	Utah Jazz	114	Box Score		18,206	2:17	Delta Center	
10:30p	Denver Nuggets	113	Los Angeles Clippers	104	Box Score		17,071	2:26	Crypto.com Arena	
7:30p	Chicago Bulls	97	Boston Celtics	124	Box Score		19,156	2:01	TD Garden	In-Season Tournament
7:30p	Toronto Raptors	103	Brooklyn Nets	115	Box Score		15,844	2:11	Barclays Center	In-Season Tournament
7:30p	Atlanta Hawks	105	Cleveland Cavaliers	128	Box Score		19,432	2:10	Rocket Mortgage Fieldhouse	In-Season Tournament
7:30p	Milwaukee Bucks	131	Miami Heat	124	Box Score		19,691	2:31	Kaseya Center	In-Season Tournament
7:30p	Charlotte Hornets	91	New York Knicks	115	Box Score		19,111	2:03	Madison Square Garden (IV)	In-Season Tournament
8:00p	Oklahoma City Thunder	103	Minnesota Timberwolves	106	Box Score		18,024	2:20	Target Center	In-Season Tournament
8:30p	Houston Rockets	115	Dallas Mavericks	121	Box Score		20,103	2:35	American Airlines Center	In-Season Tournament
10:00p	Golden State Warriors	123	Sacramento Kings	124	Box Score		18,039	2:44	Golden 1 Center	In-Season Tournament
7:00p	Los Angeles Lakers	133	Detroit Pistons	107	Box Score		20,062	2:13	Little Caesars Arena	
7:00p	Washington Wizards	120	Orlando Magic	139	Box Score		17,109	2:13	Kia Center	
7:30p	Phoenix Suns	105	Toronto Raptors	112	Box Score		19,800	2:12	Scotiabank Arena	
8:00p	Utah Jazz	91	Memphis Grizzlies	105	Box Score		15,327	2:06	FedEx Forum	
8:00p	Philadelphia 76ers	114	New Orleans Pelicans	124	Box Score		16,009	2:23	Smoothie King Center	
9:00p	Houston Rockets	124	Denver Nuggets	134	Box Score		19,590	2:07	Ball Arena	
10:00p	Los Angeles Clippers	131	Sacramento Kings	117	Box Score		17,829	2:17	Golden 1 Center	
7:00p	Portland Trail Blazers	103	Cleveland Cavaliers	95	Box Score		19,432	2:04	Rocket Mortgage Fieldhouse	
7:30p	Charlotte Hornets	129	Brooklyn Nets	128	Box Score		16,072	2:01	Barclays Center	
7:30p	Indiana Pacers	132	Miami Heat	142	Box Score		19,604	2:33	Kaseya Center	
7:30p	Detroit Pistons	112	New York Knicks	118	Box Score		19,812	2:18	Madison Square Garden (IV)	
8:00p	Milwaukee Bucks	113	Chicago Bulls	120	Box Score	OT	19,838	2:36	United Center	
8:00p	Utah Jazz	90	Minnesota Timberwolves	101	Box Score		18,024	2:03	Target Center	
8:00p	Los Angeles Lakers	110	Oklahoma City Thunder	133	Box Score		17,401	2:07	Paycom Center	
8:00p	Atlanta Hawks	137	San Antonio Spurs	135	Box Score		17,646	2:17	Frost Bank Center	
10:00p	Los Angeles Clippers	114	Golden State Warriors	120	Box Score		18,064	2:23	Chase Center	
