Fri, Nov 3, 2023	7:30p	New York Knicks	105	Milwaukee Bucks	110	Box Score		17,717	2:37	Fiserv Forum	In-Season Tournament
Fri, Nov 3, 2023	8:00p	Brooklyn Nets	109	Chicago Bulls	107	Box Score		20,645	2:03	United Center	In-Season Tournament
Fri, Nov 3, 2023	8:00p	Washington Wizards	114	Miami Heat	121	Box Score		19,660	2:09	Kaseya Center	In-Season Tournament
Fri, Nov 3, 2023	8:00p	Golden State Warriors	141	Oklahoma City Thunder	139	Box Score		16,827	2:39	Paycom Center	In-Season Tournament
Fri, Nov 3, 2023	10:00p	Dallas Mavericks	114	Denver Nuggets	125	Box Score		19,729	2:19	Ball Arena	In-Season Tournament
Fri, Nov 3, 2023	10:00p	Memphis Grizzlies	113	Portland Trail Blazers	115	Box Score	OT	18,592	2:40	Moda Center	In-Season Tournament
Sat, Nov 4, 2023	1:00p	Phoenix Suns	100	Philadelphia 76ers	112	Box Score		19,796	2:18	Wells Fargo Center	
Sat, Nov 4, 2023	7:00p	Charlotte Hornets	125	Indiana Pacers	124	Box Score		15,945	2:32	Gainbridge Fieldhouse	
Sat, Nov 4, 2023	7:00p	Atlanta Hawks	123	New Orleans Pelicans	105	Box Score		17,237	2:06	Smoothie King Center	
Sat, Nov 4, 2023	7:00p	Los Angeles Lakers	101	Orlando Magic	120	Box Score		18,846	2:21	Kia Center	
Sat, Nov 4, 2023	8:00p	Boston Celtics	124	Brooklyn Nets	114	Box Score		17,983	2:10	Barclays Center	
Sat, Nov 4, 2023	8:00p	Sacramento Kings	89	Houston Rockets	107	Box Score		18,055	2:07	Toyota Center	
Sat, Nov 4, 2023	8:00p	Utah Jazz	95	Minnesota Timberwolves	123	Box Score		18,024	2:10	Target Center	
Sat, Nov 4, 2023	9:00p	Chicago Bulls	101	Denver Nuggets	123	Box Score		19,610	2:08	Ball Arena	
Sun, Nov 5, 2023	3:00p	Phoenix Suns	120	Detroit Pistons	106	Box Score		20,062	2:17	Little Caesars Arena	
Sun, Nov 5, 2023	3:30p	Toronto Raptors	123	San Antonio Spurs	116	Box Score	OT	18,354	2:36	Frost Bank Center	
Sun, Nov 5, 2023	6:00p	Golden State Warriors	104	Cleveland Cavaliers	115	Box Score		19,432	2:17	Rocket Mortgage Fieldhouse	
Sun, Nov 5, 2023	7:30p	Charlotte Hornets	118	Dallas Mavericks	124	Box Score		20,052	2:22	American Airlines Center	
Sun, Nov 5, 2023	9:00p	Memphis Grizzlies	112	Portland Trail Blazers	100	Box Score		18,187	2:13	Moda Center	
Mon, Nov 6, 2023	7:00p	Golden State Warriors	120	Detroit Pistons	109	Box Score		20,062	2:09	Little Caesars Arena	
Mon, Nov 6, 2023	7:00p	San Antonio Spurs	111	Indiana Pacers	152	Box Score		15,129	2:12	Gainbridge Fieldhouse	
Mon, Nov 6, 2023	7:00p	Dallas Mavericks	117	Orlando Magic	102	Box Score		19,409	2:22	Kia Center	
Mon, Nov 6, 2023	7:00p	Washington Wizards	128	Philadelphia 76ers	146	Box Score		19,765	2:14	Wells Fargo Center	
Mon, Nov 6, 2023	7:30p	Milwaukee Bucks	129	Brooklyn Nets	125	Box Score		17,935	2:20	Barclays Center	
Mon, Nov 6, 2023	7:30p	Los Angeles Lakers	107	Miami Heat	108	Box Score		19,725	2:10	Kaseya Center	
Mon, Nov 6, 2023	7:30p	Los Angeles Clippers	97	New York Knicks	111	Box Score		19,812	2:09	Madison Square Garden (IV)	
Mon, Nov 6, 2023	8:00p	Utah Jazz	113	Chicago Bulls	130	Box Score		18,031	2:06	United Center	
Mon, Nov 6, 2023	8:00p	Sacramento Kings	97	Houston Rockets	122	Box Score		15,130	2:17	Toyota Center	
Mon, Nov 6, 2023	8:00p	Boston Celtics	109	Minnesota Timberwolves	114	Box Score	OT	18,024	2:40	Target Center	
Mon, Nov 6, 2023	8:00p	Atlanta Hawks	117	Oklahoma City Thunder	126	Box Score		16,486	2:17	Paycom Center	
