NOP	DAL	Tue, Nov 14, 2023	8:00p	2024	16354	131	110	2:10	ist
UTA	POR	Tue, Nov 14, 2023	9:00p	2024	18206	115	99	2:03	ist
DEN	LAC	Tue, Nov 14, 2023	10:00p	2024	19661	111	108	2:29	ist
GSW	MIN	Tue, Nov 14, 2023	10:00p	2024	18064	101	104	2:24	ist
LAL	MEM	Tue, Nov 14, 2023	10:30p	2024	18430	134	107	2:14	ist
WAS	DAL	Wed, Nov 15, 2023	7:00p	2024	16632	117	130	2:07	regular
ATL	NYK	Wed, Nov 15, 2023	7:30p	2024	17060	114	116	2:17	regular
PHI	BOS	Wed, Nov 15, 2023	7:30p	2024	19773	107	117	2:10	regular
TOR	MIL	Wed, Nov 15, 2023	7:30p	2024	19800	112	128	2:15	regular
CHI	ORL	Wed, Nov 15, 2023	8:00p	2024	19092	94	96	2:20	regular
PHO	MIN	Wed, Nov 15, 2023	9:00p	2024	17071	133	115	2:07	regular
LAL	SAC	Wed, Nov 15, 2023	10:00p	2024	18687	110	125	2:13	regular
POR	CLE	Wed, Nov 15, 2023	10:00p	2024	18137	95	109	2:10	regular
MIA	BRK	Thu, Nov 16, 2023	7:30p	2024	19866	122	115	2:17	regular
GSW	OKC	Thu, Nov 16, 2023	10:00p	2024	18064	109	128	2:09	regular
CHO	MIL	Fri, Nov 17, 2023	7:00p	2024	19258	99	130	2:09	ist
WAS	NYK	Fri, Nov 17, 2023	7:00p	2024	16886	99	120	2:18	ist
ATL	PHI	Fri, Nov 17, 2023	7:30p	2024	17067	116	126	2:19	ist
CLE	DET	Fri, Nov 17, 2023	7:30p	2024	19432	108	100	2:05	ist
SAS	SAC	Fri, Nov 17, 2023	7:30p	2024	18354	120	129	2:20	ist
TOR	BOS	Fri, Nov 17, 2023	7:30p	2024	19800	105	108	2:02	ist
CHI	ORL	Fri, Nov 17, 2023	8:00p	2024	20235	97	103	2:17	ist
NOP	DEN	Fri, Nov 17, 2023	8:00p	2024	15278	115	110	2:10	ist
POR	LAL	Fri, Nov 17, 2023	10:00p	2024	18570	95	107	2:08	ist
UTA	PHO	Fri, Nov 17, 2023	10:00p	2024	18206	128	131	2:28	ist
LAC	HOU	Fri, Nov 17, 2023	10:30p	2024	19370	106	100	2:27	ist
CHO	NYK	Sat, Nov 18, 2023	6:00p	2024	19171	108	122	2:02	regular
NOP	MIN	Sat, Nov 18, 2023	7:00p	2024	15536	120	121	2:21	regular
CHI	MIA	Sat, Nov 18, 2023	8:00p	2024	18063	102	97	2:18	regular
MIL	DAL	Sat, Nov 18, 2023	8:00p	2024	18128	132	125	2:07	regular
SAS	MEM	Sat, Nov 18, 2023	8:00p	2024	18354	108	120	2:18	regular
GSW	OKC	Sat, Nov 18, 2023	8:30p	2024	18064	123	130	2:27	regular
BRK	PHI	Sun, Nov 19, 2023	3:00p	2024	17934	99	121	2:08	regular
TOR	DET	Sun, Nov 19, 2023	4:00p	2024	19182	142	113	2:11	regular
IND	ORL	Sun, Nov 19, 2023	5:00p	2024	17276	116	128	2:26	regular
CLE	DEN	Sun, Nov 19, 2023	6:00p	2024	19432	121	109	2:05	regular
DAL	SAC	Sun, Nov 19, 2023	7:30p	2024	20211	113	129	2:10	regular
MEM	BOS	Sun, Nov 19, 2023	8:00p	2024	17798	100	102	2:08	regular
UTA	PHO	Sun, Nov 19, 2023	8:00p	2024	18206	137	140	2:51	regular
POR	OKC	Sun, Nov 19, 2023	9:00p	2024	18235	91	134	1:59	regular
LAL	HOU	Sun, Nov 19, 2023	9:30p	2024	18997	105	104	2:21	regular
CHO	BOS	Mon, Nov 20, 2023	7:00p	2024	19134	121	118	2:19	regular
DET	DEN	Mon, Nov 20, 2023	7:00p	2024	19403	103	107	2:15	regular
WAS	MIL	Mon, Nov 20, 2023	7:00p	2024	17746	129	142	2:05	regular
CHI	MIA	Mon, Nov 20, 2023	8:00p	2024	19258	100	118	2:09	regular
MIN	NYK	Mon, Nov 20, 2023	8:00p	2024	18024	117	100	2:19	regular
NOP	SAC	Mon, Nov 20, 2023	8:00p	2024	16004	129	93	2:10	regular
SAS	LAC	Mon, Nov 20, 2023	8:00p	2024	18354	99	124	2:05	regular
GSW	HOU	Mon, Nov 20, 2023	10:00p	2024	18064	121	116	2:09	regular
ORL	TOR	Tue, Nov 21, 2023	7:00p	2024	18846	126	107	2:10	ist
