Kobe Bufkin	G	6-4	195	20	ATL	17	0	Michigan	2023 Rnd 1 Pick 15	United States
Reggie Bullock	SG	6-6	205	32	HOU	44	10	North Carolina	2013 Rnd 1 Pick 25	United States
Alec Burks	SG	6-5	214	32	DET, NYK	66	12	Colorado	2011 Rnd 1 Pick 12	United States
Jared Butler	PG	6-3	193	23	WAS	40	2	Baylor	2021 Rnd 2 Pick 10	United States
Jimmy Butler	GF	6-7	230	34	MIA	60	12	Marquette	2011 Rnd 1 Pick 30	United States
Jamal Cain	F	6-6	191	24	MIA	26	1	Oakland	2022 NBA Draft, Undrafted	United States
Kentavious Caldwell-Pope	SG	6-5	204	31	DEN	76	10	Georgia	2013 Rnd 1 Pick 8	United States
Toumani Camara	SF	6-7	226	23	POR	70	0	Dayton	2023 Rnd 2 Pick 22	Belgium
Clint Capela	PF	6-10	256	29	ATL	73	9	Chalon-Sur-Saone (France)	2014 Rnd 1 Pick 25	Switzerland
Jevon Carter	PG	6-1	200	28	CHI	72	5	West Virginia	2018 Rnd 2 Pick 2	United States
Wendell Carter Jr.	PF	6-10	270	24	ORL	55	5	Duke	2018 Rnd 1 Pick 7	United States
D.J. Carton	PG	6-3	200	23	TOR	4	0	Marquette	2021 NBA Draft, Undrafted	United States
Alex Caruso	G	6-5	186	30	CHI	71	6	Texas A&M	2016 NBA Draft, Undrafted	United States
Colin Castleton	PF	6-10	250	23	LAL	16	0	Florida	2023 NBA Draft, Undrafted	United States
Malcolm Cazalon	G	6-6	185	22	DET	1	0	KK Mega Bemax (Serbia)	2023 NBA Draft, Undrafted	France
Julian Champagnie	F	6-7	217	22	SAS	74	1	St. John's	2022 NBA Draft, Undrafted	United States
Justin Champagnie	F	6-6	206	22	WAS	15	2	Pittsburgh	2021 NBA Draft, Undrafted	United States
Max Christie	F	6-5	190	21	LAL	67	1	Michigan State	2022 Rnd 2 Pick 5	United States
Sidy Cissoko	GF	6-6	200	19	SAS	12	0	NBA G League Ignite	2023 Rnd 2 Pick 14	France
Brandon Clarke	PF	6-8	215	27	MEM	6	4	Gonzaga	2019 Rnd 1 Pick 21	Canada
Jordan Clarkson	G	6-3	194	31	UTA	55	9	Missouri	2014 Rnd 2 Pick 16	United States
Nic Claxton	C	6-11	215	24	BRK	71	4	Georgia	2019 Rnd 2 Pick 1	United States
